name,eventsAmount,eventsTotalScore,topsAmount,score,attendanceBoost,adjustedScore,confidenceRating,highScore,lastEventDate
RadioOvni,2,1174.4669499468991,2,1897.5566489875162,0.040601778986789655,1595.0894948671173,61.3621882820884,1979.313330874224,1684735140
Emile,3,1090.6975486199187,2,1695.5720336457675,0.027007018471559563,1402.2499721491452,58.36420397146743,1762.4033879942979,1684043940
Gunz,1,380.0,1,1860.3279123198947,0,1488.2623298559158,87.75516262791965,1899.9829384732575,1680414600
Nightcore,8,2803.5513157505493,5,1575.761854134181,0.2,1575.761854134181,35.093481086291796,1739.033155862987,1684735140
D’Taku,8,2770.0013097315145,6,1736.990771645152,0.2,1736.990771645152,32.02776233362482,1964.285216826288,1684735140
Lengüitas,1,380.0,1,1626.1851379693087,0,1300.948110375447,94.54394053975265,1747.2032520147093,1680414600
CHOSEN,12,3891.1728069985916,10,1719.156946085061,0.2,1719.156946085061,27.04554302953088,1756.0879213160063,1684735140
joe,1,380.0,1,1824.5765942040314,0,1459.6612753632253,116.3159539753983,2064.604895474917,1680414600
Zeref,10,3261.475192568503,8,1680.9596948523395,0.2,1680.9596948523395,28.706652394887257,1691.6207478879485,1684735140
L8ER,5,1995.8116517718058,1,1473.7626879666416,0.17389608866172732,1435.2917174263061,49.80689076943163,1599.8378136910599,1684735140
Bet.,10,3427.739713401684,5,1593.0774613679914,0.2,1593.0774613679914,30.600726175623187,1634.789867431305,1684735140
Aero,4,1160.2099993167421,1,1516.4734045887756,0.03828804835932703,1271.241530721549,61.35467052126098,1747.2032520147093,1684389540
IV,6,2396.465700429585,1,1527.188607085578,0.2,1527.188607085578,43.30480629947127,1818.6615422736954,1684735140
Masteroscar,10,3347.9386366755225,7,1627.6967866282523,0.2,1627.6967866282523,34.42215221784085,1757.4305494793716,1684735140
Alex96,1,380.0,0,1499.4994299954426,0,1199.5995439963542,107.53979634909457,1881.1822145750616,1680414600
Shu,1,380.0,0,1656.5751704764966,0,1325.2601363811973,118.34905261216431,1747.2032520147093,1680414600
Dx,10,3427.739713401684,0,1418.5856445082793,0.2,1418.5856445082793,46.120295130109504,1446.1183144944325,1684735140
MAU!,1,380.0,0,1441.243368220509,0,1152.9946945764073,131.08076337702002,1747.2032520147093,1680414600
hiroshi,5,1848.521659018867,2,1552.4328796181317,0.14999270453760974,1474.7999099215385,51.91644449132127,1747.2032520147093,1684735140
Chriss,5,2086.664888534313,2,1554.1674824561944,0.18864046997822564,1536.512870280368,49.9049303187639,1670.1775845378047,1684735140
SATO,9,3015.5885578609305,2,1509.1870462389993,0.2,1509.1870462389993,41.35923855876153,1558.038844649133,1684735140
MagicK,6,2401.4791340649417,0,1311.44974756706,0.2,1311.44974756706,62.87608865118944,1498.7615409254759,1684735140
Skylander84,8,2766.071969937095,1,1432.6999166225291,0.2,1432.6999166225291,48.68466355191151,1500.0,1684735140
Ulikander,1,380.0,0,1490.9945024327203,0,1192.7956019461762,104.17480638771275,1645.1061899446374,1680414600
VaL,1,380.0,0,1426.8570064741075,0,1141.485605179286,120.61230660298082,1599.8378136910599,1680414600
LCA I RenRen,2,1174.4669499468991,0,1220.6600157975238,0.040601778986789655,1026.0889808174413,91.23265427184215,1419.1593577661558,1684735140
Sacevedo,1,380.0,0,1567.2573786303094,0,1253.8059029042477,133.25523995999475,1567.2573786303094,1680414600
DAN,1,380.0,0,1576.2842202441539,0,1261.027376195323,141.12685140125856,1606.864054199866,1680414600
TG Zorlack,1,380.0,0,1234.1943586715993,0,987.3554869372795,139.82862052164973,1400.1621863089401,1680414600
YoGar,1,380.0,0,1226.1421791631228,0,980.9137433304983,142.10140733089284,1400.1621863089401,1680414600
ZeroWarCry,9,3111.609405147952,3,1502.325849813512,0.2,1502.325849813512,40.05463728446839,1642.344405748247,1684735140
Racc-Kun,1,380.0,0,1237.6542732319763,0,990.123418585581,117.55650652926376,1596.3986159917677,1680414600
